                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4641,                 3.3212,                 1.0855,                0.00373,                0.96825,                0.02441,                0.01504,                 1.3095,                 4.1476,                 0.9869,             0.00064865,             0.00064865,             0.00064865
                      2,                 1.4271,                 1.9384,                 1.0782,                      1,                0.25145,                0.86963,                0.53711,                 1.2647,                  3.008,                 1.1369,              0.0013023,              0.0013023,              0.0013023
                      3,                 1.3894,                  1.596,                 1.1073,                0.60797,                0.37302,                0.41473,                0.24056,                 1.5571,                 2.4674,                 1.6336,              0.0019427,              0.0019427,              0.0019427
                      4,                 1.3517,                 1.3905,                 1.0923,                0.92176,                0.80159,                 0.9245,                0.56158,                 1.3827,                 1.6254,                 1.1774,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4036,                 1.2381,                 1.1015,                0.93647,                0.93591,                0.96067,                0.61577,                 1.3106,                 1.2211,                 1.1244,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.3502,                 1.0879,                 1.0953,                0.91753,                0.86508,                0.93091,                0.58425,                 1.3164,                  1.274,                 1.1632,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3104,                0.97622,                 1.0664,                0.92132,                0.87302,                0.94312,                0.59679,                 1.3023,                0.88037,                 1.1279,               0.001901,               0.001901,               0.001901
                      8,                 1.3504,                0.92684,                 1.0832,                0.90799,                0.93984,                0.95984,                0.61947,                 1.2639,                0.94519,                 1.1183,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.2915,                0.86036,                  1.064,                0.92762,                0.91538,                0.96319,                0.62637,                 1.3244,                0.78169,                 1.1059,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3288,                 0.8563,                 1.0797,                0.90104,                0.86721,                0.94043,                 0.5691,                 1.3347,                0.91085,                   1.09,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3173,                 0.8409,                 1.0692,                0.92729,                0.92063,                0.95858,                  0.608,                 1.2916,                 0.7719,                 1.1088,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3085,                0.79321,                 1.0683,                0.95829,                0.91165,                0.96771,                0.59259,                 1.3611,                0.75179,                 1.1497,               0.001802,               0.001802,               0.001802
                     13,                 1.2945,                0.77065,                 1.0715,                0.94149,                0.93651,                0.97344,                0.60702,                 1.3399,                0.72124,                 1.1414,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2979,                0.75883,                 1.0621,                0.87702,                0.90554,                 0.9216,                0.58654,                 1.2271,                0.73805,                 1.0898,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2489,                0.72706,                 1.0438,                0.95074,                0.92063,                 0.9547,                0.63189,                 1.2724,                0.72661,                 1.0805,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2332,                0.68004,                 1.0326,                0.93403,                0.96032,                0.97897,                0.61165,                 1.2533,                0.67168,                 1.0755,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2584,                0.68389,                 1.0409,                0.95456,                0.96032,                0.98225,                 0.6517,                 1.2037,                 0.6853,                  1.049,               0.001703,               0.001703,               0.001703
                     18,                 1.2204,                 0.6628,                 1.0302,                0.96679,                0.92428,                0.98378,                0.63341,                 1.2346,                0.64159,                  1.074,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2572,                0.69453,                 1.0532,                0.98534,                0.92063,                0.96309,                0.58988,                 1.3803,                0.68794,                 1.1029,              0.0016634,              0.0016634,              0.0016634
                     20,                   1.29,                0.67705,                 1.0793,                0.98241,                0.88639,                0.95683,                0.62953,                   1.22,                0.68214,                 1.0525,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2461,                0.67047,                  1.043,                 0.9794,                0.89683,                0.97142,                 0.6417,                 1.2794,                0.66138,                 1.0724,              0.0016238,              0.0016238,              0.0016238
